IR,RED,Heart Rate,Respiration Rate,SPO2
217159,229500,,,
217091,229562,,,
217191,229627,,,
217198,229709,,,
217183,229722,,,
217263,229802,,,
217330,229868,,,
217233,229941,,,
217317,229967,,,
217406,230030,,,
217296,230125,,,
217381,230127,,,
217461,230227,,,
217342,230303,,,
217447,230359,,,
217599,230405,,,
217425,230375,,,
217437,230368,,,
217539,230016,,,
217304,229801,,,
217216,229501,,,
217288,229346,,,
217061,229205,,,
217041,229146,,,
217140,228851,,,
217010,228744,,,
216914,228742,,,
217054,228499,,,
216899,228474,,,
216932,228493,,,
216910,228557,,,
216955,228551,,,
216932,228563,,,
216967,228559,,,
216937,228553,,,
216970,228580,,,
216934,228538,,,
216977,228625,,,
216871,228685,,,
217002,228680,,,
217034,228673,,,
216981,228880,,,
217163,228810,,,
216992,228870,,,
217113,228870,,,
217021,228970,,,
217088,228988,,,
217182,229080,,,
217094,229100,,,
217208,229163,,,
217213,229185,,,
217238,229297,,,
217328,229349,,,
217239,229299,,,
217266,229428,,,
217334,229482,,,
217336,229514,,,
217311,229615,,,
217407,229700,,,
217401,229657,,,
217408,229790,,,
217487,229859,,,
217472,229932,,,
217451,229918,,,
217537,230035,,,
217541,230104,,,
217502,230146,,,
217594,230208,,,
217623,230293,,,
217588,230318,,,
217663,230338,,,
217658,230299,,,
217572,230140,,,
217528,229817,,,
217508,229603,,,
217308,229389,,,
217283,229102,,,
217311,228984,,,
217120,228824,,,
217123,228609,,,
217157,228476,,,
216963,228381,,,
217036,228277,,,
216835,228272,,,
217039,228280,,,
216918,228331,,,
217058,228317,,,
216899,228338,,,
217066,228318,,,
216940,228336,,,
217043,228332,,,
216975,228337,,,
217059,228355,,,
217101,228361,,,
217062,228442,,,
217240,228486,,,
217076,228541,,,
217206,228543,,,
217178,228636,,,
217203,228653,,,
217228,228651,,,
217192,228790,,,
217335,228756,,,
217288,228854,,,
217275,228976,,,
217419,228944,,,
217347,229025,,,
217323,229160,,,
217518,229132,,,
217370,229217,,,
217408,229374,,,
217580,229283,,,
217521,229401,,,
217489,229529,,,
217627,229537,,,
217501,229586,,,
217540,229730,,,
217700,229630,,,
217632,229754,,,
217584,229895,,,
217761,229897,,,
217654,229923,,,
217707,230081,,,
217782,230096,,,
217755,230083,,,
217746,230163,,,
217830,229981,,,
217656,229690,,,
217590,229476,,,
217546,229178,,,
217396,228915,,,
217328,228779,,,
217324,228592,,,
217203,228340,,,
217177,228265,,,
217198,228085,,,
217068,227961,,,
217031,227926,,,
217127,227920,,,
217024,227955,,,
217142,227955,,,
217069,227972,,,
217235,227963,,,
217011,227963,,,
217206,227964,,,
