X,Y,Z
0.04,-0.02,0.75
0.04,-0.02,0.75
0.04,-0.02,0.75
0.04,-0.02,0.75
0.04,-0.02,0.75
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.03,-0.03,1
0.03,-0.03,1
