X,Y,Z
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.06,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.03,-0.04,1
0.04,-0.04,1
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.04,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
