RED1,IR1,RED2,IR2,RED3,IR3,RED4,IR4
4437,4771,89498,112289,262143,262143,262143,262143
4440,4766,89491,112200,262143,262143,262143,262143
4446,4775,89458,112238,262143,262143,262143,262143
4318,4689,77915,112464,82357,147887,82400,147848
4440,4764,89488,112286,262143,262143,262143,262143
4436,4776,89481,112078,262143,262143,262143,262143
4437,4761,89450,112144,262143,262143,262143,262143
4443,4770,89448,112058,262143,262143,262143,262143
4438,4759,89440,112112,262143,262143,262143,262143
4428,4763,89447,112211,262143,262143,262143,262143
4441,4760,89527,112214,262143,262143,262143,262143
4425,4766,89430,112225,262143,262143,262143,262143
4441,4756,89499,112261,262143,262143,262143,262143
4434,4757,89478,112189,262143,262143,262143,262143
4445,4756,89480,112129,262143,262143,262143,262143
4440,4764,89480,112140,262143,262143,262143,262143
4441,4758,89457,112203,262143,262143,262143,262143
4436,4767,89501,112286,262143,262143,262143,262143
4438,4774,89509,112184,262143,262143,262143,262143
4440,4772,89476,112115,262143,262143,262143,262143
4447,4757,89440,112023,262143,262143,262143,262143
4445,4751,89378,111912,262143,262143,262143,262143
4439,4756,89398,111939,262143,262143,262143,262143
4432,4770,89397,112039,262143,262143,262143,262143
4433,4767,89425,112047,262143,262143,262143,262143
4423,4765,89431,112047,262143,262143,262143,262143
4430,4751,89416,112041,262143,262143,262143,262143
4438,4742,89409,112040,262143,262143,262143,262143
4452,4760,89417,112059,262143,262143,262143,262143
4458,4753,89400,112011,262143,262143,262143,262143
4446,4760,89382,112020,262143,262143,262143,262143
4424,4758,89419,112193,262143,262143,262143,262143
4448,4778,89460,112101,262143,262143,262143,262143
4435,4759,89397,112092,262143,262143,262143,262143
4448,4763,89410,112021,262143,262143,262143,262143
4428,4754,89386,111998,262143,262143,262143,262143
4444,4751,89400,112121,262143,262143,262143,262143
4432,4760,89456,112054,262143,262143,262143,262143
4436,4762,89392,111931,262143,262143,262143,262143
4437,4764,89345,111766,262143,262143,262143,262143
4432,4753,89308,111634,262143,262143,262143,262143
4447,4736,89277,111528,262143,262143,262143,262143
4426,4759,89241,111501,262143,262143,262143,262143
4448,4764,89250,111487,262143,262143,262143,262143
4428,4768,89217,111512,262143,262143,262143,262143
4434,4761,89247,111634,262143,262143,262143,262143
4436,4760,89273,111671,262143,262143,262143,262143
4435,4747,89278,111619,262143,262143,262143,262143
4424,4743,89258,111621,262143,262143,262143,262143
4445,4761,89257,111621,262143,262143,262143,262143
4417,4737,89255,111547,262143,262143,262143,262143
4438,4756,89241,111551,262143,262143,262143,262143
4423,4764,89275,111715,262143,262143,262143,262143
4438,4750,89295,111564,262143,262143,262143,262143
4422,4763,89258,111601,262143,262143,262143,262143
4433,4761,89234,111509,262143,262143,262143,262143
4442,4758,89223,111452,262143,262143,262143,262143
4460,4772,89210,111438,262143,262143,262143,262143
4434,4747,89206,111333,262143,262143,262143,262143
4438,4778,89184,111405,262143,262143,262143,262143
4435,4757,89220,111422,262143,262143,262143,262143
4434,4785,89213,111414,262143,262143,262143,262143
4430,4782,89199,111416,262143,262143,262143,262143
4435,4796,89177,111426,262143,262143,262143,262143
4434,4787,89215,111566,262143,262143,262143,262143
4428,4794,89247,111649,262143,262143,262143,262143
4450,4804,89250,111672,262143,262143,262143,262143
4443,4789,89269,111706,262143,262143,262143,262143
4449,4775,89249,111661,262143,262143,262143,262143
4444,4796,89266,111674,262143,262143,262143,262143
